# Per-model hold q on the hand layout for all 6,723 BPMN models in the 15-40 band,
# the population behind results/bpmn_representativeness.py and the paper's 0.87.
# Source: bpmai.tar.gz, sha256 7c40fe0c13f78943f1600f09203c30d83c41fd6c71b81902367bf057a73f947a.
# Funnel: 29,810 models archived; parsers/parse_bpmn.py parses 21,784 (>= 10 nodes, >= 1 edge);
# 13,435 have every edge a BPMN flow or association; data/make_corpus.py --bpmn keeps their
# largest component of 15 to 40 nodes, 6,723 graphs (bpmn_all.txt); data/bpmn.txt is the first 300 by id.
# Each column is the q of `station direct --corpus bpmn_all.txt --weights W`, one weight set:
# overlap 0,1,0,0,0,0,0,0; length 0,0,1,0,0,0,0,0 (--L fit); stress 0,0,0,1,0,0,0,0;
# alignA1 0,0,0,0,0,1,0,0 --align a1; flow 0,0,0,0,0,0,0,1.
id,overlap,length,stress,alignA1,flow
1065048918.json,1.000000,0.000000,0.000000,0.750000,0.535714
1065790096.json,1.000000,0.000000,0.000000,1.000000,0.882353
106587872.json,1.000000,0.000000,0.000000,0.933333,0.866667
1065979309.json,1.000000,0.000000,0.000000,0.703704,0.777778
1066443049.json,1.000000,0.052632,0.000000,1.000000,0.894737
1066896743.json,1.000000,0.000000,0.000000,0.562500,0.375000
1066917310.json,1.000000,0.000000,0.117647,1.000000,0.882353
1067168783.json,1.000000,0.000000,0.000000,1.000000,0.411765
1067335701.json,1.000000,0.000000,0.000000,0.904762,0.571429
1067845084.json,1.000000,0.000000,0.000000,0.708333,0.750000
1067934650.json,1.000000,0.000000,0.000000,0.970588,0.500000
1068470140.json,1.000000,0.000000,0.000000,0.842105,0.842105
1069107590.json,1.000000,0.000000,0.000000,0.894737,0.684211
106933957.json,1.000000,0.000000,0.000000,1.000000,0.600000
1069691092.json,0.911765,0.000000,0.000000,0.852941,0.735294
1070302721.json,1.000000,0.041667,0.000000,0.791667,0.833333
1070402056.json,1.000000,0.000000,0.000000,0.473684,1.000000
1070635668.json,1.000000,0.000000,0.000000,1.000000,1.000000
1071121375.json,1.000000,0.000000,0.000000,1.000000,0.680000
1071361509.json,1.000000,0.000000,0.000000,0.906250,1.000000
107168023.json,1.000000,0.000000,0.000000,0.687500,1.000000
1071898239.json,0.590909,0.000000,0.000000,0.863636,0.636364
1072036927.json,1.000000,0.000000,0.000000,1.000000,1.000000
1072611003.json,1.000000,0.000000,0.000000,1.000000,0.685714
1072736347.json,1.000000,0.000000,0.000000,0.969697,1.000000
1072844002.json,1.000000,0.000000,0.058824,1.000000,1.000000
1072937185.json,1.000000,0.157895,0.000000,0.842105,0.789474
1073171981.json,1.000000,0.000000,0.000000,0.820513,0.769231
1073694213.json,1.000000,0.055556,0.000000,1.000000,0.888889
1073757691.json,1.000000,0.000000,0.000000,1.000000,0.826087
1073798553.json,1.000000,0.000000,0.000000,0.833333,0.800000
1073905366.json,1.000000,0.000000,0.000000,0.370370,0.851852
1073989552.json,1.000000,0.000000,0.058824,1.000000,1.000000
1074015617.json,1.000000,0.000000,0.000000,1.000000,0.916667
1074041906.json,1.000000,0.176471,0.000000,0.764706,1.000000
107405250.json,1.000000,0.000000,0.000000,1.000000,0.529412
1074184432.json,1.000000,0.000000,0.000000,0.838710,0.645161
