# Per-model hold q on the hand layout for all 6,723 BPMN models in the 15-40 band,
# the population behind results/bpmn_representativeness.py and the paper's 0.87.
# Source: bpmai.tar.gz, sha256 7c40fe0c13f78943f1600f09203c30d83c41fd6c71b81902367bf057a73f947a.
# Funnel: 29,810 models archived; parsers/parse_bpmn.py parses 21,784 (>= 10 nodes, >= 1 edge);
# 13,435 have every edge a BPMN flow or association; data/make_corpus.py --bpmn keeps their
# largest component of 15 to 40 nodes, 6,723 graphs (bpmn_all.txt); data/bpmn.txt is the first 300 by id.
# Each column is the q of `station direct --corpus bpmn_all.txt --weights W`, one weight set:
# overlap 0,1,0,0,0,0,0,0; length 0,0,1,0,0,0,0,0 (--L fit); stress 0,0,0,1,0,0,0,0;
# alignA1 0,0,0,0,0,1,0,0 --align a1; flow 0,0,0,0,0,0,0,1.
id,overlap,length,stress,alignA1,flow
1045043582.json,1.000000,0.045455,0.000000,1.000000,0.818182
1045182326.json,1.000000,0.000000,0.000000,0.875000,1.000000
1045183252.json,1.000000,0.000000,0.000000,0.333333,1.000000
1045697922.json,0.866667,0.100000,0.200000,0.666667,1.000000
104593713.json,1.000000,0.000000,0.000000,1.000000,0.857143
1046048235.json,1.000000,0.000000,0.000000,0.739130,0.521739
1046629921.json,1.000000,0.000000,0.000000,0.666667,0.444444
1046700825.json,1.000000,0.000000,0.041667,1.000000,0.750000
1046734786.json,1.000000,0.000000,0.000000,0.925926,1.000000
1047510341.json,1.000000,0.000000,0.000000,0.666667,1.000000
1047642669.json,1.000000,0.000000,0.000000,0.875000,1.000000
1047829738.json,1.000000,0.000000,0.000000,1.000000,0.727273
1047880972.json,1.000000,0.000000,0.000000,0.888889,1.000000
1048036019.json,1.000000,0.000000,0.037037,1.000000,0.740741
1048687201.json,1.000000,0.000000,0.000000,0.971429,1.000000
1048832532.json,1.000000,0.040000,0.000000,0.960000,0.840000
1049305314.json,1.000000,0.041667,0.000000,1.000000,0.500000
1049410711.json,0.888889,0.000000,0.000000,1.000000,1.000000
1049446143.json,1.000000,0.000000,0.000000,0.942857,0.828571
105070660.json,1.000000,0.000000,0.142857,1.000000,0.857143
1051312831.json,1.000000,0.000000,0.000000,1.000000,0.647059
1051883408.json,1.000000,0.000000,0.000000,1.000000,1.000000
1052297546.json,1.000000,0.000000,0.000000,0.866667,1.000000
1054290907.json,1.000000,0.000000,0.000000,0.666667,0.809524
1055289148.json,1.000000,0.000000,0.000000,0.590909,0.818182
105551917.json,1.000000,0.000000,0.000000,1.000000,0.531250
1055555072.json,1.000000,0.000000,0.000000,1.000000,1.000000
1055698191.json,1.000000,0.000000,0.000000,1.000000,0.782609
1055713863.json,1.000000,0.000000,0.000000,0.733333,0.733333
1055984555.json,1.000000,0.000000,0.000000,0.777778,0.361111
1056008012.json,1.000000,0.000000,0.000000,0.750000,0.800000
1056081001.json,1.000000,0.000000,0.000000,1.000000,0.882353
1056886605.json,1.000000,0.000000,0.000000,1.000000,1.000000
1058369279.json,0.950000,0.000000,0.000000,0.825000,0.675000
1058400286.json,1.000000,0.000000,0.000000,0.666667,0.611111
1058793673.json,1.000000,0.000000,0.055556,1.000000,0.888889
105881262.json,1.000000,0.000000,0.000000,0.590909,0.909091
1058939766.json,1.000000,0.000000,0.000000,0.875000,1.000000
1059642594.json,1.000000,0.000000,0.000000,0.647059,0.882353
1059654633.json,1.000000,0.000000,0.000000,0.708333,0.916667
1059942549.json,1.000000,0.000000,0.000000,0.800000,0.733333
106014777.json,1.000000,0.000000,0.050000,0.550000,0.800000
1060358077.json,1.000000,0.000000,0.000000,1.000000,1.000000
1060378605.json,0.875000,0.000000,0.000000,0.562500,1.000000
1060715040.json,1.000000,0.000000,0.000000,1.000000,0.913043
1060796505.json,1.000000,0.000000,0.028571,1.000000,0.942857
106084705.json,1.000000,0.000000,0.000000,1.000000,1.000000
1060852109.json,1.000000,0.000000,0.000000,1.000000,1.000000
1060873887.json,1.000000,0.000000,0.000000,1.000000,0.629630
1061245591.json,1.000000,0.000000,0.000000,1.000000,1.000000
106213502.json,1.000000,0.000000,0.000000,0.666667,1.000000
1062329509.json,1.000000,0.000000,0.000000,0.871795,0.897436
1062366166.json,1.000000,0.000000,0.000000,0.666667,0.592593
1062740929.json,1.000000,0.000000,0.000000,0.423077,0.846154
1062864348.json,1.000000,0.000000,0.000000,1.000000,0.783784
1063000783.json,1.000000,0.000000,0.000000,0.869565,0.652174
1063123371.json,1.000000,0.000000,0.000000,1.000000,0.680000
1064316989.json,0.928571,0.000000,0.000000,0.535714,0.464286
1064354518.json,1.000000,0.000000,0.000000,0.400000,0.700000
1064609557.json,1.000000,0.000000,0.000000,1.000000,0.833333
1064982122.json,1.000000,0.000000,0.000000,1.000000,0.444444
1065028844.json,1.000000,0.035714,0.035714,0.642857,0.821429
