id,author
Hs_MTHFR_deficiency_WP4288_20250725,Jessev1993
Hs_Macrophage-stimulating_protein_(MSP)_signaling_WP5353_20240729,Rex D A B
Hs_Malate-aspartate_shuttle_WP4315_20240728,Madeomuga
Hs_Mammalian_disorder_of_sexual_development_WP4842_20241120,WoltersAAT1804
Hs_Mammary_gland_development:_embryonic_development_-_stage_1_of_4_WP2813_20250311,Biodados
Hs_Melatonin_metabolism_and_effects_WP3298_20250311,Fehrhart
Hs_Metabolism_of_alpha-linolenic_acid_WP4586_20240727,Chris
Hs_Metabolism_of_dichloroethylene_by_CYP450_WP3666_20250308,Jacobwindsor
Hs_Methionine_metabolism_leading_to_sulfur_amino_acids_and_related_disorders_WP4292_20250622,HRitter
Hs_Mevalonate_arm_of_cholesterol_biosynthesis_pathway_with_inhibitors_WP4189_20250304,DeSl
Hs_Mevalonate_pathway_WP3963_20230202,Khanspers
Hs_Microtubule_cytoskeleton_regulation_WP2038_20250308,CarlosBorroto
Hs_Mineralocorticoid_biosynthesis_WP5279_20240723,Conroy lipids
Hs_Mitochondrial_carrier_deficiency_associated_with_shuttle_disturbances_WP5507_20251001,Daanvanbeek
Hs_Mitochondrial_complex_I_inhibition_leading_to_chemical-induced_Fanconi_syndrome_WP4944_20240327,Marvin M2
Hs_Mitochondrial_complex_I_inhibition_leading_to_parkinsonian_motor_deficits_WP4945_20250309,Marvin M2
Hs_Mitochondrial_complex_inhibition_leading_to_liver_injury_WP5034_20240312,Marvin M2
Hs_Mitochondrial_fatty_acid_oxidation_disorders_WP5123_20250307,DeSl
Hs_Mitochondrial_fatty_acid_synthesis_pathway_WP4317_20250904,Madeomuga
Hs_Mitochondrial_immune_response_to_SARS-CoV-2_WP5038_20260322,GabrielCouillaud
Hs_Mitochondrial_long_chain_fatty_acid_beta-oxidation_WP368_20251201,N.Reyes
Hs_Mitophagy_WP5636_20260531,FloorBoereboom
Hs_Modified_nucleosides_derived_from_tRNA_as_urinary_cancer_markers_WP4485_20250303,DeSl
Hs_Modulation_of_PI3K-Akt-mTOR_signaling_by_bioactive_sphingolipids_WP5192_20240917,Jesper
Hs_Modulators_of_TCR_signaling_and_T_cell_activation_WP5072_20250309,Khanspers
Hs_Molecular_pathway_for_oxidative_stress_WP5477_20241113,Burritaco
Hs_Monoamine_GPCRs_WP58_20250304,Nsalomonis
Hs_NAD+_biosynthetic_pathways_WP3645_20250307,Khanspers
Hs_NAD+_metabolism_WP3644_20250308,Khanspers
Hs_NAD_biosynthesis_II_from_tryptophan_WP2485_20250928,Cizar
Hs_NAD_metabolism_in_oncogene-induced_senescence_and_mitochondrial_dysfunction-associated_senescence_WP5046_20250506,PaulaP04
Hs_NF1_copy_number_variation_syndrome__WP5366_20240722,Ninagerrekens
Hs_NO-cGMP-PKG_mediated_neuroprotection_WP4008_20250818,SauerThorben
Hs_Nanoparticle-mediated_activation_of_receptor_signaling_WP2643_20250309,Bart Smeets
Hs_Neolacto_series_sphingolipid_metabolism_WP5302_20250719,Conroy lipids
Hs_Nephrotoxcicity_adverse_outcome_pathway_WP5229_20240723,Juliajohnsson
Hs_Neural_crest_differentiation_WP2064_20250308,Nsalomonis
Hs_Neurotransmitter_disorders_WP4220_20240211,AnneFriesacher
Hs_Nicotine_effect_on_dopaminergic_neurons_WP1602_20250827,Khanspers
Hs_Nicotine_metabolism_in_liver_cells_WP1600_20250209,Khanspers
Hs_Nifedipine_activity_WP259_20250910,Robatwiki
Hs_Nonalcoholic_fatty_liver_disease_WP4396_20250507,AlexanderPico
Hs_Novel_intracellular_components_of_RIG-I-like_receptor_pathway_WP3865_20250303,AlexanderPico
Hs_Nuclear_receptors_in_lipid_metabolism_and_toxicity_WP299_20250306,S.Burel
Hs_Nucleotide-binding_oligomerization_domain_(NOD)_pathway_WP1433_20250304,Misbah
Hs_Nucleotide_metabolism_WP404_20250809,N.Fidelman
Hs_Oligodendrocyte_development_WP5574_20251029,ThiesHanssen
Hs_Omega-9_fatty_acid_synthesis_WP4724_20250708,DeSl
Hs_One-carbon_metabolism_WP241_20250319,Michiel
Hs_Opioid_receptor_pathways_WP5093_20260614,Keshav
Hs_Osteoarthritic_chondrocyte_hypertrophy_WP5373_20250825,Phil Hit
Hs_Overlap_between_signal_transduction_pathways_contributing_to_LMNA_laminopathies_WP4879_20240722,Zoebarois
Hs_Overview_of_nanoparticle_effects_WP3287_20220226,Fehrhart
Hs_Oxidative_stress_in_pulmonary_tissue_WP5482_20250705,Burritaco
Hs_PDGFR-beta_pathway_WP3972_20250227,Khanspers
Hs_PDGF_pathway_WP2526_20250929,Amanzo
Hs_PI3K-AKT-mTOR_-_vitamin_D3_signaling_WP4141_20250311,Madeomuga
Hs_PTF1A_related_regulatory_pathway_WP4147_20170906,Mkutmon
Hs_Parkin-ubiquitin_proteasomal_system_pathway_WP2359_20250310,Khanspers
Hs_Pathophysiological_roles_of_DUX4_in_FSHD1_WP5342_20250711,BTJvanDijl
Hs_Pathways_affected_in_adenoid_cystic_carcinoma_WP3651_20250308,AAR&amp;amp;Co
Hs_Pathways_of_nucleic_acid_metabolism_and_innate_immune_sensing_WP4705_20241221,DeSl
Hs_Pentose_phosphate_metabolism_WP134_20250303,Kdahlquist
Hs_Peptide_GPCRs_WP24_20260701,Nsalomonis
Hs_Peroxisomal_beta-oxidation_of_tetracosanoyl-CoA_WP1941_20250629,Drgibson
Hs_Perturbations_to_host-cell_autophagy__induced_by_SARS-CoV-2_proteins_WP4936_20250827,Rex D A B
Hs_Perturbed_thyroid_hormone_homeostasis_leading_to_developmental_neurotoxicity_WP5517_20250319,Marvin M2
Hs_Phosphatidylcholine_catabolism_WP4195_20181112,DeSl
Hs_Phosphoinositides_metabolism_WP4971_20251001,DeSl
Hs_Physico-chemical_features_and_toxicity-associated_pathways_WP3680_20250828,AAR&amp;amp;Co
Hs_Pleural_mesothelioma_WP5087_20250827,Ziska
Hs_Polyol_pathway_WP690_20210518,Pieter Giesbertz
Hs_Prader-Willi_and_Angelman_syndrome_WP3998_20250722,KJanssen
Hs_Proline_and_hydroxyproline_pathways_WP5026_20251103,DeSl
Hs_Prostaglandin_and_leukotriene_metabolism_in_senescence__WP5122_20250714,JDoreen
Hs_Prostaglandin_synthesis_and_regulation_WP98_20250506,Nsalomonis
Hs_Protein_alkylation_leading_to_liver_fibrosis_WP3980_20230228,Marvin M2
Hs_Proteoglycan_biosynthesis_WP4784_20250311,Rlee
Hs_Proximal_tubule_transport_WP4917_20251014,Marvin M2
Hs_Psoriasis_mechanism_and_therapies_WP5537_20251031,Eweitz
Hs_RAC1-PAK1-p38-MMP2_pathway_WP3303_20250303,Khanspers
Hs_ROS_in_COVID-19_endothelial_dysfunction_WP5258_20260322,EAD2022
Hs_Regulatory_circuits_of_STAT3_signaling_WP4538_20240522,Marvin M2
Hs_Retinol_metabolism_WP5188_20230214,Rvanrosmeulen
Hs_Rett_syndrome_WP4312_20240721,Maxvanson
Hs_Role_of_carnosine_in_muscle_contraction_WP4486_20210623,DeSl
Hs_Roles_of_ceramides_in_development_of_insulin_resistance_WP5181_20240723,GiangNguyen126
Hs_SARS-CoV-2_mitochondrial_chronic_oxidative_stress_and_endothelial_dysfunction_WP5183_20240723,KJTLUC
Hs_SHANK3_pathway_involved_in_Phelan-McDermid_syndrome_WP5566_20251104,SabyaSherpa
Hs_SOX_genes_and_their_influence_on_neurogenesis_and_neurodevelopmental_disorders_WP5568_20250814,Jmlohmann
Hs_SRF_and_miRs_in_smooth_muscle_differentiation_and_proliferation_WP1991_20210522,Samuel Sklar
Hs_STING_pathway_in_Kawasaki-like_disease_and_COVID-19_WP4961_20250311,Khanspers
Hs_Serine_metabolism_WP4688_20250819,Akutmon
Hs_Serotonin_receptor_4-6-7_and_NR3C_signaling_WP734_20250304,Aruke
Hs_Sildenafil_treatment_WP5294_20250903,Cenna Doornbos
Hs_Sodium_channel_in_epilepsy_WP5598_20260210,Duan
Hs_Sphingolipid_metabolism_in_senescence_WP5121_20231128,TadeIdowu
Hs_Sphingolipid_metabolism_overview_WP4725_20250708,DeSl
Hs_Statin_inhibition_of_cholesterol_production_WP430_20250303,Nsalomonis
Hs_Steroid_biosynthesis_WP496_20250304,A.Kwa
Hs_Steroid_hormone_precursor_biosynthesis_WP5277_20240212,Conroy lipids
Hs_Steroidogenic_pathway_WP4463_20241009,DeSl
Hs_Sterol_regulatory_element-binding_proteins_(SREBP)_signaling_WP1982_20250306,Sabinedaemen
Hs_Sulfatase_and_aromatase_pathway_WP5368_20240722,Glattl98
Hs_T-cell_activation_SARS-CoV-2_WP5098_20260617,Clclass
Hs_T-cell_antigen_receptor_(TCR)_pathway_during_Staphylococcus_aureus_infection_WP3863_20240118,AAR&amp;amp;Co
Hs_TCA_cycle_in_senescence_WP5050_20230118,WayanM0
Hs_TNF-alpha_signaling_WP231_20250306,A.Pandey
Hs_T_cell_receptor_and_co-stimulatory_signaling_WP2583_20250715,Mbrandon
Hs_Tamoxifen_metabolism_WP691_20240802,Pieter Giesbertz
