corpus,layout,routes,term,d,dirs,L,median_q
sbgn,hand,stored,length,0.005,16,median,0.029
sbgn,hand,stored,length,0.005,16,rsqrt,0.000
sbgn,hand,stored,length,0.005,32,fit,0.000
sbgn,hand,stored,length,0.005,32,median,0.028
sbgn,hand,stored,length,0.005,32,rsqrt,0.000
sbgn,hand,stored,length,0.005,64,fit,0.000
sbgn,hand,stored,length,0.005,64,median,0.028
sbgn,hand,stored,length,0.005,64,rsqrt,0.000
sbgn,hand,stored,length,0.01,8,fit,0.000
sbgn,hand,stored,length,0.01,8,median,0.032
sbgn,hand,stored,length,0.01,8,rsqrt,0.000
sbgn,hand,stored,length,0.01,16,fit,0.000
sbgn,hand,stored,length,0.01,16,median,0.031
sbgn,hand,stored,length,0.01,16,rsqrt,0.000
sbgn,hand,stored,length,0.01,32,fit,0.000
sbgn,hand,stored,length,0.01,32,median,0.029
sbgn,hand,stored,length,0.01,32,rsqrt,0.000
sbgn,hand,stored,length,0.01,64,fit,0.000
sbgn,hand,stored,length,0.01,64,median,0.029
sbgn,hand,stored,length,0.01,64,rsqrt,0.000
sbgn,hand,stored,length,0.02,8,fit,0.000
sbgn,hand,stored,length,0.02,8,median,0.050
sbgn,hand,stored,length,0.02,8,rsqrt,0.000
sbgn,hand,stored,length,0.02,16,fit,0.000
sbgn,hand,stored,length,0.02,16,median,0.042
sbgn,hand,stored,length,0.02,16,rsqrt,0.000
sbgn,hand,stored,length,0.02,32,fit,0.000
sbgn,hand,stored,length,0.02,32,median,0.038
sbgn,hand,stored,length,0.02,32,rsqrt,0.000
sbgn,hand,stored,length,0.02,64,fit,0.000
sbgn,hand,stored,length,0.02,64,median,0.035
sbgn,hand,stored,length,0.02,64,rsqrt,0.000
sbgn,hand,stored,length,0.05,8,fit,0.000
sbgn,hand,stored,length,0.05,8,median,0.120
sbgn,hand,stored,length,0.05,8,rsqrt,0.000
sbgn,hand,stored,length,0.05,16,fit,0.000
sbgn,hand,stored,length,0.05,16,median,0.087
sbgn,hand,stored,length,0.05,16,rsqrt,0.000
sbgn,hand,stored,length,0.05,32,fit,0.000
sbgn,hand,stored,length,0.05,32,median,0.074
sbgn,hand,stored,length,0.05,32,rsqrt,0.000
sbgn,hand,stored,length,0.05,64,fit,0.000
sbgn,hand,stored,length,0.05,64,median,0.065
sbgn,hand,stored,length,0.05,64,rsqrt,0.000
sbgn,hand,stored,stress,0.005,8,fit,0.000
sbgn,hand,stored,stress,0.005,8,median,0.000
sbgn,hand,stored,stress,0.005,8,rsqrt,0.000
sbgn,hand,stored,stress,0.005,16,fit,0.000
sbgn,hand,stored,stress,0.005,16,median,0.000
sbgn,hand,stored,stress,0.005,16,rsqrt,0.000
sbgn,hand,stored,stress,0.005,32,fit,0.000
sbgn,hand,stored,stress,0.005,32,median,0.000
sbgn,hand,stored,stress,0.005,32,rsqrt,0.000
sbgn,hand,stored,stress,0.005,64,fit,0.000
sbgn,hand,stored,stress,0.005,64,median,0.000
sbgn,hand,stored,stress,0.005,64,rsqrt,0.000
sbgn,hand,stored,stress,0.01,8,fit,0.000
sbgn,hand,stored,stress,0.01,8,median,0.000
sbgn,hand,stored,stress,0.01,8,rsqrt,0.000
sbgn,hand,stored,stress,0.01,16,fit,0.000
sbgn,hand,stored,stress,0.01,16,median,0.000
sbgn,hand,stored,stress,0.01,16,rsqrt,0.000
sbgn,hand,stored,stress,0.01,32,fit,0.000
sbgn,hand,stored,stress,0.01,32,median,0.000
sbgn,hand,stored,stress,0.01,32,rsqrt,0.000
sbgn,hand,stored,stress,0.01,64,fit,0.000
sbgn,hand,stored,stress,0.01,64,median,0.000
sbgn,hand,stored,stress,0.01,64,rsqrt,0.000
sbgn,hand,stored,stress,0.02,8,fit,0.000
sbgn,hand,stored,stress,0.02,8,median,0.000
sbgn,hand,stored,stress,0.02,8,rsqrt,0.000
sbgn,hand,stored,stress,0.02,16,fit,0.000
sbgn,hand,stored,stress,0.02,16,median,0.000
sbgn,hand,stored,stress,0.02,16,rsqrt,0.000
sbgn,hand,stored,stress,0.02,32,fit,0.000
sbgn,hand,stored,stress,0.02,32,median,0.000
sbgn,hand,stored,stress,0.02,32,rsqrt,0.000
sbgn,hand,stored,stress,0.02,64,fit,0.000
sbgn,hand,stored,stress,0.02,64,median,0.000
sbgn,hand,stored,stress,0.02,64,rsqrt,0.000
sbgn,hand,stored,stress,0.05,8,fit,0.000
sbgn,hand,stored,stress,0.05,8,median,0.000
sbgn,hand,stored,stress,0.05,8,rsqrt,0.000
sbgn,hand,stored,stress,0.05,16,fit,0.000
sbgn,hand,stored,stress,0.05,16,median,0.000
sbgn,hand,stored,stress,0.05,16,rsqrt,0.000
sbgn,hand,stored,stress,0.05,32,fit,0.000
sbgn,hand,stored,stress,0.05,32,median,0.000
sbgn,hand,stored,stress,0.05,32,rsqrt,0.000
sbgn,hand,stored,stress,0.05,64,fit,0.000
sbgn,hand,stored,stress,0.05,64,median,0.000
sbgn,hand,stored,stress,0.05,64,rsqrt,0.000
sbgn,hand,stored,A1,0.005,8,fit,0.197
sbgn,hand,stored,A1,0.005,16,fit,0.121
sbgn,hand,stored,A1,0.005,32,fit,0.066
sbgn,hand,stored,A1,0.005,64,fit,0.059
sbgn,hand,stored,A1,0.01,8,fit,0.278
sbgn,hand,stored,A1,0.01,16,fit,0.167
sbgn,hand,stored,A1,0.01,32,fit,0.100
sbgn,hand,stored,A1,0.01,64,fit,0.061
sbgn,hand,stored,A1,0.02,8,fit,0.314
sbgn,hand,stored,A1,0.02,16,fit,0.208
sbgn,hand,stored,A1,0.02,32,fit,0.136
sbgn,hand,stored,A1,0.02,64,fit,0.074
sbgn,hand,stored,A1,0.05,8,fit,0.277
sbgn,hand,stored,A1,0.05,16,fit,0.194
